boroct2010,variable_num,label,estimate
2004300,4,HHI 15-20k,251
2004300,5,HHI 20-25k,123
2004300,6,HHI 25-30k,113
2004300,7,HHI 30-35k,110
2004300,8,HHI 35-40k,58
2004300,9,HHI 40-45k,153
2004300,10,HHI 45-50k,0
2004300,11,HHI 50-60k,132
2004300,12,HHI 60-75k,104
2004300,13,HHI 75-100k,104
2004300,14,HHI 100-125k,59
2004300,15,HHI 125-150k,59
2004300,16,HHI 150-200k,33
2004300,17,HHI 200k+,21
2004400,2,HHI <10k,460
2004400,3,HHI 10-15k,251
2004400,4,HHI 15-20k,168
2004400,5,HHI 20-25k,161
2004400,6,HHI 25-30k,76
2004400,7,HHI 30-35k,101
2004400,8,HHI 35-40k,64
2004400,9,HHI 40-45k,56
2004400,10,HHI 45-50k,55
2004400,11,HHI 50-60k,30
2004400,12,HHI 60-75k,41
2004400,13,HHI 75-100k,51
2004400,14,HHI 100-125k,78
2004400,15,HHI 125-150k,13
2004400,16,HHI 150-200k,43
2004400,17,HHI 200k+,0
2004600,2,HHI <10k,137
2004600,3,HHI 10-15k,120
2004600,4,HHI 15-20k,85
2004600,5,HHI 20-25k,57
2004600,6,HHI 25-30k,26
2004600,7,HHI 30-35k,32
2004600,8,HHI 35-40k,38
2004600,9,HHI 40-45k,42
2004600,10,HHI 45-50k,16
2004600,11,HHI 50-60k,8
2004600,12,HHI 60-75k,71
2004600,13,HHI 75-100k,5
2004600,14,HHI 100-125k,27
2004600,15,HHI 125-150k,33
2004600,16,HHI 150-200k,19
2004600,17,HHI 200k+,5
2004800,2,HHI <10k,256
2004800,3,HHI 10-15k,63
2004800,4,HHI 15-20k,152
2004800,5,HHI 20-25k,76
2004800,6,HHI 25-30k,92
2004800,7,HHI 30-35k,87
2004800,8,HHI 35-40k,46
2004800,9,HHI 40-45k,103
2004800,10,HHI 45-50k,18
2004800,11,HHI 50-60k,82
2004800,12,HHI 60-75k,93
2004800,13,HHI 75-100k,138
2004800,14,HHI 100-125k,109
2004800,15,HHI 125-150k,34
2004800,16,HHI 150-200k,52
2004800,17,HHI 200k+,5
2005001,2,HHI <10k,272
2005001,3,HHI 10-15k,160
2005001,4,HHI 15-20k,101
2005001,5,HHI 20-25k,180
2005001,6,HHI 25-30k,99
2005001,7,HHI 30-35k,159
2005001,8,HHI 35-40k,41
2005001,9,HHI 40-45k,21
2005001,10,HHI 45-50k,50
2005001,11,HHI 50-60k,74
2005001,12,HHI 60-75k,98
2005001,13,HHI 75-100k,108
2005001,14,HHI 100-125k,28
2005001,15,HHI 125-150k,39
2005001,16,HHI 150-200k,43
2005001,17,HHI 200k+,43
2005002,2,HHI <10k,342
2005002,3,HHI 10-15k,164
2005002,4,HHI 15-20k,180
2005002,5,HHI 20-25k,53
2005002,6,HHI 25-30k,155
2005002,7,HHI 30-35k,150
2005002,8,HHI 35-40k,168
2005002,9,HHI 40-45k,106
2005002,10,HHI 45-50k,57
2005002,11,HHI 50-60k,71
2005002,12,HHI 60-75k,151
2005002,13,HHI 75-100k,252
2005002,14,HHI 100-125k,61
2005002,15,HHI 125-150k,0
2005002,16,HHI 150-200k,23
2005002,17,HHI 200k+,0
2005100,2,HHI <10k,483
2005100,3,HHI 10-15k,264
2005100,4,HHI 15-20k,376
2005100,5,HHI 20-25k,106
2005100,6,HHI 25-30k,126
2005100,7,HHI 30-35k,66
2005100,8,HHI 35-40k,127
2005100,9,HHI 40-45k,148
2005100,10,HHI 45-50k,95
2005100,11,HHI 50-60k,207
2005100,12,HHI 60-75k,122
2005100,13,HHI 75-100k,19
2005100,14,HHI 100-125k,12
2005100,15,HHI 125-150k,0
2005100,16,HHI 150-200k,10
2005100,17,HHI 200k+,0
2005200,2,HHI <10k,195
2005200,3,HHI 10-15k,133
2005200,4,HHI 15-20k,63
2005200,5,HHI 20-25k,76
2005200,6,HHI 25-30k,51
2005200,7,HHI 30-35k,24
2005200,8,HHI 35-40k,19
2005200,9,HHI 40-45k,42
2005200,10,HHI 45-50k,0
2005200,11,HHI 50-60k,19
2005200,12,HHI 60-75k,94
2005200,13,HHI 75-100k,56
2005200,14,HHI 100-125k,8
2005200,15,HHI 125-150k,16
2005200,16,HHI 150-200k,6
2005200,17,HHI 200k+,11
2005300,2,HHI <10k,487
2005300,3,HHI 10-15k,299
2005300,4,HHI 15-20k,160
2005300,5,HHI 20-25k,125
2005300,6,HHI 25-30k,70
