locationid,zone,borough,speed_zone,day_type,time_of_day,mean_trip_mph,median_trip_mph,num_trips,mean_trip_distance,mean_trip_minutes
19,Bellerose,Queens,4,weekend_or_holiday,12,20.462352056210403,18.62747232807113,1357,2.0267786477981593,7.394571358388602
19,Bellerose,Queens,4,weekend_or_holiday,20,21.132850362049947,19.333665995975856,389,1.9701115095378751,6.888474721508141
20,Belmont,Bronx,3,weekday,0,14.271251212576505,13.248514318758016,4496,1.71829604809621243798,7.990435943060499
20,Belmont,Bronx,3,weekday,6,10.743320075690104,9.730728727885426,18769,1.65341324529705617045,10.523872697888361
20,Belmont,Bronx,3,weekday,12,9.955578128867039,9.059919170620278,26940,1.75422769500496846852,12.167655902004453
20,Belmont,Bronx,3,weekday,20,12.94743452088454,12.09128360596282,11149,1.78235500084187549863,9.142758692857358
20,Belmont,Bronx,3,weekend_or_holiday,0,13.968202292900667,12.927190876350542,4769,1.75123486576219549738,8.47603970084574
20,Belmont,Bronx,3,weekend_or_holiday,6,13.090905809067625,12.077659208261618,5173,1.71261935134345894581,8.667101617372253
20,Belmont,Bronx,3,weekend_or_holiday,12,11.229275073717709,10.443377034358047,11878,1.75988193043789436362,10.439602626704833
20,Belmont,Bronx,3,weekend_or_holiday,20,12.44740692423518,11.67359515139071,6238,1.77814530226667821683,9.466134979159987
21,Bensonhurst East,Brooklyn,4,weekday,0,17.425221909932706,16.09110123454274,4470,2.0952272733818637,8.26444071588367
21,Bensonhurst East,Brooklyn,4,weekday,6,13.629006805833495,12.496031542833734,19392,2.0854925325850534,10.579589521452144
21,Bensonhurst East,Brooklyn,4,weekday,12,13.015153525987248,11.907389410937125,26337,2.0363962818105761,10.94876472896179
21,Bensonhurst East,Brooklyn,4,weekday,20,15.294747221092965,14.205309349781269,9585,2.0348916415994581,9.057972526517126
21,Bensonhurst East,Brooklyn,4,weekend_or_holiday,0,16.338271652454516,15.215898048860188,4705,2.0763675292891112,8.661420474672333
21,Bensonhurst East,Brooklyn,4,weekend_or_holiday,6,15.049306706368247,13.778831301170104,6166,2.1101800014620241,9.526932641366635
21,Bensonhurst East,Brooklyn,4,weekend_or_holiday,12,13.978115677482686,12.866923110482738,12278,2.0834726149394936,10.187292990172123
21,Bensonhurst East,Brooklyn,4,weekend_or_holiday,20,15.005246972860842,13.983401754367184,5278,2.0715306718287692,9.377737779461917
22,Bensonhurst West,Brooklyn,3,weekday,0,17.140925441761745,15.881237987124223,4198,2.0048049191293801,8.131439574400508
22,Bensonhurst West,Brooklyn,3,weekday,6,13.779083952444717,12.553445531770738,24791,2.0952949174592664,10.691593723528701
22,Bensonhurst West,Brooklyn,3,weekday,12,13.515136991616963,12.33186440677966,33596,2.0293029311329486,10.646713398420447
22,Bensonhurst West,Brooklyn,3,weekday,20,15.648004404841727,14.354559921065851,12207,2.0016923503497870,8.805439501925125
22,Bensonhurst West,Brooklyn,3,weekend_or_holiday,0,16.49282558003152,15.245436766623206,4187,1.9885273897690341,8.30251572327044
22,Bensonhurst West,Brooklyn,3,weekend_or_holiday,6,14.928789454813293,13.831614531369212,7935,2.1344034798338030,9.689399285864313
22,Bensonhurst West,Brooklyn,3,weekend_or_holiday,12,13.79387404500051,12.720955451032731,16071,2.0530892778754585,10.244015099661917
22,Bensonhurst West,Brooklyn,3,weekend_or_holiday,20,15.126179440861042,14.058976423231742,6999,2.0342412585712136,9.15277420583893
24,Bloomingdale,Manhattan,2,weekday,0,11.85455132619018,11.305713498840959,1981,1.50530014907134592900,8.168635369342082
24,Bloomingdale,Manhattan,2,weekday,6,8.449879228267449,8.013755744766678,7643,1.38272256596290395272,10.803011470190588
24,Bloomingdale,Manhattan,2,weekday,12,8.592578663170439,8.123301537862565,10466,1.40365129138297805199,10.785815975539842
24,Bloomingdale,Manhattan,2,weekday,20,10.160428497027596,9.744193789149461,4979,1.49960806757652414541,9.457481421972284
24,Bloomingdale,Manhattan,2,weekend_or_holiday,0,11.238776038531574,10.788291303825996,2005,1.53289362018637726825,8.795993349958438
24,Bloomingdale,Manhattan,2,weekend_or_holiday,6,10.356748942189894,9.898601787317743,3031,1.54091064123441805544,9.555014846585285
24,Bloomingdale,Manhattan,2,weekend_or_holiday,12,9.228876640461188,8.875169228731828,5949,1.51589085714278860209,10.61332997142377
24,Bloomingdale,Manhattan,2,weekend_or_holiday,20,10.097956178710898,9.721041460155657,2740,1.55302198003784848677,9.777299270072993
25,Boerum Hill,Brooklyn,2,weekday,0,12.419536236175352,11.856966800841336,5294,1.80497228171967155094,9.373551819670068
25,Boerum Hill,Brooklyn,2,weekday,6,8.20287054432681,7.65680354005336,21006,1.45228533515548127099,11.881092703671966
25,Boerum Hill,Brooklyn,2,weekday,12,8.202876359097193,7.577991628001951,44715,1.50231131582862955306,12.404828357374482
25,Boerum Hill,Brooklyn,2,weekday,20,10.21430942007196,9.610928589262432,20869,1.63152529040274327920,10.335077547239127
25,Boerum Hill,Brooklyn,2,weekend_or_holiday,0,11.4412978583602,10.898327582409514,8538,1.75662842397013620032,9.885679706410558
25,Boerum Hill,Brooklyn,2,weekend_or_holiday,6,10.084631228024712,9.364888817377313,9628,1.47844996365497305241,9.619280570558095
25,Boerum Hill,Brooklyn,2,weekend_or_holiday,12,8.906705573344624,8.32902826198524,26995,1.51482069877975021679,11.164295857257517
25,Boerum Hill,Brooklyn,2,weekend_or_holiday,20,10.213374833758376,9.596089607023458,10850,1.61097950248032767274,10.22079416282642
26,Borough Park,Brooklyn,3,weekday,0,14.560424659691328,13.213276661597734,6256,1.7197199923853364,8.278484654731459
26,Borough Park,Brooklyn,3,weekday,6,9.92973212118646,8.752263447200317,42063,1.5671642757721231,11.317462298615569
26,Borough Park,Brooklyn,3,weekday,12,9.628831300033506,8.476270125159239,73345,1.5419737957505355,11.582415297566296
26,Borough Park,Brooklyn,3,weekday,20,12.048505662606605,10.770950987771407,23165,1.5282661421481970,8.850902942657745
26,Borough Park,Brooklyn,3,weekend_or_holiday,0,15.206788532293064,13.525951513078539,3298,1.8633037323459323,8.673115019203557
26,Borough Park,Brooklyn,3,weekend_or_holiday,6,12.149132456055542,10.989961347524227,7753,1.6326766599661838,9.42286211788985
26,Borough Park,Brooklyn,3,weekend_or_holiday,12,11.181354151539916,9.972082500187337,16901,1.6138535249293610,10.253650671557896
26,Borough Park,Brooklyn,3,weekend_or_holiday,20,12.438670740234837,11.133653465841714,9646,1.5538871697340201,8.664396295528372
28,Briarwood/Jamaica Hills,Queens,3,weekday,0,18.35029155544833,16.527850943800196,2443,1.8343166331723180,6.971824259789876
28,Briarwood/Jamaica Hills,Queens,3,weekday,6,14.692406282028747,12.84544831168831,15478,1.8332787793349840,9.057493431537235
28,Briarwood/Jamaica Hills,Queens,3,weekday,12,14.0998885393377,12.241330693069306,14433,1.8930729660466771,9.89982216679369
28,Briarwood/Jamaica Hills,Queens,3,weekday,20,16.850508993720503,14.989923135179058,4686,1.9091452068021888,8.045006402048655
28,Briarwood/Jamaica Hills,Queens,3,weekend_or_holiday,0,18.95040342194457,16.87807189025341,2120,1.8894668543850198,7.122248427672956
28,Briarwood/Jamaica Hills,Queens,3,weekend_or_holiday,6,16.496122807198507,14.895264253007023,4176,1.8927280865307984,7.900862068965518
28,Briarwood/Jamaica Hills,Queens,3,weekend_or_holiday,12,15.417876314434537,13.627085705952632,6800,1.9024448356172527,8.86990931372549
28,Briarwood/Jamaica Hills,Queens,3,weekend_or_holiday,20,16.83385527705916,14.794778981541072,2716,1.8991391571295780,8.002816642120766
29,Brighton Beach,Brooklyn,4,weekday,0,17.366268472210464,16.03955954323002,2093,1.9603007997620047,7.758719541328237
29,Brighton Beach,Brooklyn,4,weekday,6,15.249562739267082,13.957821169069234,13496,1.9050168490968480,8.688853487453072
29,Brighton Beach,Brooklyn,4,weekday,12,13.609883728588425,12.146750581344435,22560,1.9231984165289873,10.049360224586287
29,Brighton Beach,Brooklyn,4,weekday,20,15.908140812569236,14.332921518987341,7302,1.9557830836852721,8.578104172372866
29,Brighton Beach,Brooklyn,4,weekend_or_holiday,0,16.853558550758706,15.54268630887671,2401,1.9815417572022951,8.188206302929336
29,Brighton Beach,Brooklyn,4,weekend_or_holiday,6,16.005708039408244,14.610565859896926,4106,1.9562995740551348,8.431559506413379
29,Brighton Beach,Brooklyn,4,weekend_or_holiday,12,14.552146619331438,13.065842602699732,9710,1.9437396215477172,9.312413319601784
29,Brighton Beach,Brooklyn,4,weekend_or_holiday,20,15.802263546587286,14.107997500888004,3994,1.9716383617807129,8.672621432148222
31,Bronx Park,Bronx,3,weekday,0,18.416454440345408,15.37634944953148,267,1.7996073399862647,7.1122971285892636
31,Bronx Park,Bronx,3,weekday,6,12.550735807987722,10.925238437083376,1037,1.8202031927472989,10.844053359048537
31,Bronx Park,Bronx,3,weekday,12,11.650152882774231,9.985730089002361,1804,1.7585267123383930,11.242664449371766
31,Bronx Park,Bronx,3,weekday,20,15.131923353536495,12.858507920074722,590,1.7394141553459636,8.074745762711864
31,Bronx Park,Bronx,3,weekend_or_holiday,0,15.370381200338871,13.61703002525783,246,1.7973365597504336,8.390853658536585
31,Bronx Park,Bronx,3,weekend_or_holiday,6,16.247653013502234,14.079215839323268,314,1.7451993855781068,7.633386411889597
31,Bronx Park,Bronx,3,weekend_or_holiday,12,12.68266345251052,11.226299694189603,1349,1.6896017914502006,9.335100074128984
31,Bronx Park,Bronx,3,weekend_or_holiday,20,14.129274086679274,12.221018000676846,308,1.7468545405085760,9.014015151515151
32,Bronxdale,Bronx,3,weekday,0,17.51325151187527,16.671034663865548,3517,2.0315773017237748,7.699383944649796
32,Bronxdale,Bronx,3,weekday,6,12.60841695288944,11.66817785527463,15499,2.0168215145681029,11.399990321956256
32,Bronxdale,Bronx,3,weekday,12,13.085217893693335,12.11064754454585,18355,1.9947123864554225,10.648292018523563
32,Bronxdale,Bronx,3,weekday,20,15.742061541231791,14.925418060200668,7279,2.0364865560478097,8.599803086504556
32,Bronxdale,Bronx,3,weekend_or_holiday,0,16.633986594977486,15.920738906874881,3243,2.0516692575694310,8.171523280912735
32,Bronxdale,Bronx,3,weekend_or_holiday,6,15.80907609876639,15.002841563627985,4894,2.0412237674791869,8.433782863370114
32,Bronxdale,Bronx,3,weekend_or_holiday,12,14.131082698270022,13.29214824120603,8684,2.0483901381333377,9.699769691386457
32,Bronxdale,Bronx,3,weekend_or_holiday,20,15.741428726402852,15.03408478797062,4308,2.1180417369820144,8.894575982667904
33,Brooklyn Heights,Brooklyn,2,weekday,0,11.450800206157416,11.045678711901502,2019,1.64499701782630123517,9.093462109955423
33,Brooklyn Heights,Brooklyn,2,weekday,6,8.115821473256977,7.688170582507302,14331,1.32030155664035256611,10.888919126369409
33,Brooklyn Heights,Brooklyn,2,weekday,12,8.129226435131747,7.701581850033625,35624,1.41577167444623663239,11.52394078898121
33,Brooklyn Heights,Brooklyn,2,weekday,20,9.627581301223008,9.250825126222336,13893,1.54348057863163501465,10.241324168046258
33,Brooklyn Heights,Brooklyn,2,weekend_or_holiday,0,10.73866861658289,10.30925446932,3115,1.66816624487310400718,9.876206527554842
33,Brooklyn Heights,Brooklyn,2,weekend_or_holiday,6,9.58630231076679,9.108129339475287,6306,1.46385290556617690735,9.886348979807591
33,Brooklyn Heights,Brooklyn,2,weekend_or_holiday,12,8.605022657120058,8.235548423333066,20454,1.46877657517011491035,10.997948241582739
33,Brooklyn Heights,Brooklyn,2,weekend_or_holiday,20,9.64866589157621,9.223985655248043,6870,1.53228030466781649809,10.212954876273653
34,Brooklyn Navy Yard,Brooklyn,2,weekday,0,12.357407275279634,11.617635326966845,577,1.8961375614298153,10.2210860774119
34,Brooklyn Navy Yard,Brooklyn,2,weekday,6,9.202361255243332,8.431830484229437,1894,1.5654441177247396,11.539915522703273
34,Brooklyn Navy Yard,Brooklyn,2,weekday,12,9.107054997160038,8.33306295626131,9313,1.6799339118263025,12.47101900569097
34,Brooklyn Navy Yard,Brooklyn,2,weekday,20,10.92819297416703,10.303112965340178,3136,1.8359662917099502,10.946428571428573
34,Brooklyn Navy Yard,Brooklyn,2,weekend_or_holiday,0,11.96979820766732,11.243090620556048,541,1.9014302705339732,10.905606900800986
34,Brooklyn Navy Yard,Brooklyn,2,weekend_or_holiday,6,11.024455561028287,10.466255524206636,761,1.6396253104671385,10.049846692947876
